den,datum,kraj_nuts_kod,kraj_nazev,okres_lau_kod,okres_nazev,orp_kod,orp_nazev,obec_kod,obec_nazev,nove_pripady,aktivni_pripady,nove_pripady_65,nove_pripady_7_dni,nove_pripady_14_dni
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2026,Votice,530948,"Vrchotovy Janovice",0,26,0,11,25
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2026,Votice,530905,Votice,0,71,0,39,66
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0205,"Kutná Hora",2004,Čáslav,530875,Starkoč,0,0,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533815,"Uhlířská Lhota",0,8,0,3,5
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533581,Plaňany,0,44,0,24,41
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533556,Ohaře,0,9,0,2,8
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533513,Malotice,0,4,0,1,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533424,Kouřim,0,62,0,31,60
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0209,Praha-východ,2022,Říčany,533254,"Černé Voděrady",0,1,0,1,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2006,"Český Brod",533220,"Břežany II",0,24,0,12,24
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533190,"Bělušice (Kolín)",0,4,0,3,4
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533181,Bečváry,0,44,0,20,42
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2024,Slaný,533122,Zvoleněves,0,10,0,3,9
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2024,Slaný,532479,Kmetiněves,0,8,0,4,8
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2024,Slaný,532177,"Tuřany (Kladno)",0,12,0,5,10
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2009,Kladno,532118,Brandýsek,0,41,0,14,38
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2001,Benešov,532045,"Chlístov (Benešov)",0,9,0,4,9
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0202,Beroun,2002,Beroun,532011,Zdice,0,52,0,29,50
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0206,Mělník,2011,"Kralupy nad Vltavou",534951,"Kralupy nad Vltavou",0,340,0,142,323
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533947,"Žiželice (Kolín)",0,46,0,24,42
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533858,Veltruby,0,45,0,14,42
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0206,Mělník,2017,Neratovice,535087,Neratovice,0,290,0,132,269
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0206,Mělník,2014,Mělník,535028,"Lužec nad Vltavou",0,33,0,13,32
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,534994,Choťovice,0,2,0,1,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0209,Praha-východ,2003,"Brandýs n.L.- St.Boleslav",534960,Křenek,0,0,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536164,"Krásná Ves",0,4,0,4,4
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0209,Praha-východ,2003,"Brandýs n.L.- St.Boleslav",536130,"Kostelní Hlavno",0,8,0,3,8
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536121,Kosořice,0,11,0,5,12
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",535419,"Mladá Boleslav",0,947,0,407,893
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0206,Mělník,2011,"Kralupy nad Vltavou",535117,"Nová Ves (Mělník)",0,19,0,13,19
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020C,Rakovník,2021,Rakovník,542512,Třtice,0,8,0,1,6
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020C,Rakovník,2021,Rakovník,541737,Hořovičky,0,13,0,7,10
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,541371,Suchodol,0,2,0,2,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536491,"Předměřice nad Jizerou",0,19,0,12,19
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536989,Žerčice,0,6,0,5,6
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536857,"Velké Všelisy",0,10,0,3,9
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2019,Poděbrady,537632,Pátek,0,9,0,6,9
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2013,"Lysá nad Labem",537861,Stratov,0,13,0,8,11
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2019,Poděbrady,537802,Sloveč,0,18,0,9,17
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2019,Poděbrady,537900,Úmyslovice,0,7,0,2,7
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2006,"Český Brod",537993,Vykáň,0,6,0,3,6
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0209,Praha-východ,2003,"Brandýs n.L.- St.Boleslav",538329,Klíčany,0,5,0,2,4
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539104,"Bojanovice (Praha-západ)",0,8,0,3,8
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0209,Praha-východ,2022,Říčany,539031,"Všestary (Praha-východ)",0,26,0,6,22
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539406,"Lety (Praha-západ)",0,29,0,13,29
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539295,"Chrášťany (Praha-západ)",0,22,0,12,21
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539163,Davle,0,14,0,7,13
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539597,Psáry,0,59,0,27,55
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2007,Dobříš,540099,"Daleké Dušníky",0,0,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539708,Středokluky,0,17,0,10,17
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2007,Dobříš,541010,Ouběnice,0,4,0,2,4
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2023,Sedlčany,541133,"Prosenická Lhota",0,12,0,0,12
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2023,Sedlčany,541044,"Petrovice (Příbram)",0,18,0,7,16
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2025,Vlašim,599395,"Ostrov (Benešov)",0,1,0,0,1
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2018,Nymburk,599697,Zbožíčko,0,0,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2018,Nymburk,599638,"Hrubý Jeseník",0,24,0,10,21
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2007,Dobříš,599204,Korkyně,0,0,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2025,Vlašim,599361,Strojetice,0,8,0,6,8
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,599727,Karlík,0,11,0,3,10
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,564346,Lazsko,0,5,0,4,5
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,564478,Narysov,0,9,0,1,9
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",565580,Plužná,0,4,0,2,3
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",565563,"Lipník (Mladá Boleslav)",0,2,0,0,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2016,"Mnichovo Hradiště",565750,"Bílá Hlína",0,0,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",565733,Hrušov,0,6,0,0,6
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2016,"Mnichovo Hradiště",571881,Strážiště,0,1,0,1,1
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,513555,Kotenčice,0,3,0,3,3
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,513521,Lešetice,0,2,0,0,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,513504,"Dlouhá Lhota (Příbram)",0,8,0,6,8
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,513423,Pašinka,0,11,0,7,11
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,513270,Lipec,0,3,0,0,3
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2001,Benešov,530450,Postupice,0,40,0,18,41
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2001,Benešov,530352,Ostředek,0,6,0,5,6
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2026,Votice,530301,Neustupov,0,2,0,1,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2026,Votice,530701,Střezimíř,0,8,0,2,7
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0206,Mělník,2014,Mělník,531871,Jeviněves,0,11,0,6,11
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2024,Slaný,532339,Hospozín,0,19,0,8,18
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2001,Benešov,532258,Litichovice,0,1,0,1,1
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2024,Slaný,532207,Černuc,0,22,0,9,18
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2024,Slaný,532088,Beřovice,0,11,0,3,10
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536636,Skalsko,0,11,0,9,11
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536351,Nepřevázka,0,17,0,10,17
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536334,"Němčice (Mladá Boleslav)",0,1,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2019,Poděbrady,536083,"Velenice (Nymburk)",0,6,0,4,6
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536202,"Ledce (Mladá Boleslav)",0,5,0,2,5
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536717,Strenice,0,2,0,1,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536938,Všejany,0,13,0,5,12
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536768,"Sukorady (Mladá Boleslav)",0,17,0,9,16
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0209,Praha-východ,2003,"Brandýs n.L.- St.Boleslav",538108,Brázdim,0,12,0,9,12
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2019,Poděbrady,537772,Sány,0,19,0,6,18
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2013,"Lysá nad Labem",537721,"Přerov nad Labem",0,30,0,13,29
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0206,Mělník,2011,"Kralupy nad Vltavou",535079,Nelahozeves,0,37,0,21,36
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0208,Nymburk,2018,Nymburk,534862,Zvěřínek,0,10,0,2,10
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0209,Praha-východ,2003,"Brandýs n.L.- St.Boleslav",534781,Dřísy,0,9,0,4,9
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2006,"Český Brod",533777,Tuchoraz,0,17,0,7,17
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533726,"Svojšice (Kolín)",0,5,0,2,5
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533645,"Radovesnice II",0,11,0,8,11
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2006,"Český Brod",533611,Přišimasy,0,10,0,6,11
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533475,Libenice,0,9,0,5,7
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533394,Konárovice,0,29,0,20,29
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533360,"Jestřabí Lhota",0,16,0,11,16
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533343,Chotutice,0,14,0,8,13
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,533211,"Břežany I",0,5,0,4,5
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2009,Kladno,533092,Zákolany,0,11,0,4,11
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2024,Slaný,533041,Velvary,0,65,0,36,59
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2025,Vlašim,532509,Šetějovice,0,2,0,0,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020C,Rakovník,2021,Rakovník,541699,"Čistá (Rakovník)",0,28,0,14,28
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,541567,"Vranovice (Příbram)",0,9,0,7,9
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,541516,"Višňová (Příbram)",0,18,0,8,17
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020C,Rakovník,2021,Rakovník,542601,Zavidov,0,2,0,1,1
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020C,Rakovník,2021,Rakovník,541818,"Chrášťany (Rakovník)",0,20,0,6,17
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,541231,"Rožmitál pod Třemšínem",0,51,0,20,48
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2023,Sedlčany,541397,"Svatý Jan",0,4,0,2,3
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,540129,"Dolní Hbity",0,14,0,7,14
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539759,Třebotov,0,23,0,14,23
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539627,"Roztoky (Praha-západ)",0,119,0,46,110
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0209,Praha-východ,2003,"Brandýs n.L.- St.Boleslav",539040,Vyšehořovice,0,13,0,10,13
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539210,"Dolní Břežany",0,65,0,24,64
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0209,Praha-východ,2022,Říčany,539091,Zvánovice,0,3,0,1,4
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539325,"Jesenice (Praha-západ)",0,152,0,73,143
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539261,"Hvozdnice (Praha-západ)",0,13,0,4,13
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,539244,Hostivice,0,164,0,62,159
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,599476,"Církvice (Kolín)",0,0,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2016,"Mnichovo Hradiště",599557,"Koryta (Mladá Boleslav)",0,2,0,2,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2024,Slaný,599425,"Želenice (Kladno)",0,11,0,3,10
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0205,"Kutná Hora",2004,Čáslav,571741,Třebonín,0,4,0,2,4
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",570788,Bradlec,0,39,0,16,36
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2016,"Mnichovo Hradiště",570770,"Loukov (Mladá Boleslav)",0,2,0,0,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,564486,"Podlesí (Příbram)",0,15,0,7,15
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020C,Rakovník,2021,Rakovník,565440,Kalivody,0,1,0,0,1
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020C,Rakovník,2021,Rakovník,565504,Řeřichy,0,1,0,1,1
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",565725,Veselice,0,3,0,2,3
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",565571,Vlkava,0,11,0,6,9
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2016,"Mnichovo Hradiště",565822,"Mohelnice nad Jizerou",0,3,0,2,3
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0209,Praha-východ,2003,"Brandýs n.L.- St.Boleslav",565989,Hlavenec,0,3,0,0,3
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",566039,"Jizerní Vtelno",0,16,0,8,15
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2009,Kladno,513113,"Malé Přítočno",0,4,0,3,4
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,513181,Dománovice,0,3,0,1,1
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,513164,"Ždánice (Kolín)",0,9,0,4,8
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2001,Benešov,513482,"Vysoký Újezd (Benešov)",0,1,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020A,Praha-západ,2005,Černošice,513431,Chýnice,0,5,0,4,5
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2001,Benešov,529940,"Kozmice (Benešov)",0,6,0,0,6
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2025,Vlašim,530743,Bílkovice,0,1,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2026,Votice,530611,Smilkov,0,1,0,1,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2025,Vlašim,530476,Pravonín,0,18,0,4,19
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2026,Votice,530344,"Olbramovice (Benešov)",0,40,0,21,38
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2025,Vlašim,530093,"Loket (Benešov)",0,8,0,5,8
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2016,"Mnichovo Hradiště",536041,Kněžmost,0,57,0,31,50
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",536377,"Nová Telib",0,4,0,1,4
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0206,Mělník,2014,Mělník,535338,"Vysoká (Mělník)",0,39,0,29,37
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2016,"Mnichovo Hradiště",536024,"Klášter Hradiště nad Jizerou",0,15,0,8,14
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",535559,Brodce,0,9,0,6,7
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0206,Mělník,2017,Neratovice,534820,Chlumín,0,3,0,3,3
